Year	Age	Death Rate
1971	30	0.001824
1972	30	0.000401
1973	30	0.003532
1974	30	0.001916
1975	30	0.001225
1976	30	0.001125
1977	30	0.001047
1978	30	0
1979	30	0.002678
1980	30	0.001372
1981	30	0.001384
1982	30	0.000683
1983	30	0.001675
1984	30	0
1985	30	0.000986
1986	30	0.000328
1987	30	0.001913
1988	30	0.000308
1989	30	0.001821
1990	30	0.000911
1991	30	0.001487
1992	30	0.002018
1993	30	0.00112
1994	30	0.001594
1995	30	0.001888
1996	30	0.000273
1997	30	0.001635
1998	30	0.001664
1999	30	0.000839
2000	30	0.001715
2001	30	0.00056
2002	30	0.002527
2003	30	0.000595
2004	30	0.000312
2005	30	0.001759
2006	30	0.000292
2007	30	0.001155
2008	30	0
2009	30	0.001408
2010	30	0.001109
2011	30	0
2012	30	0.001005
2013	30	0.000986
2014	30	0.000956
2015	30	0.000696
2016	30	0.000686
2017	30	0.000646
2018	30	0.000634
2019	30	0.000603
2020	30	0
1971	40	0.002583
1972	40	0.003854
1973	40	0.001207
1974	40	0.007528
1975	40	0.005392
1976	40	0.004513
1977	40	0.003603
1978	40	0.001982
1979	40	0.002731
1980	40	0.004109
1981	40	0.001778
1982	40	0.003516
1983	40	0.0054
1984	40	0.002632
1985	40	0.003319
1986	40	0.003022
1987	40	0.001736
1988	40	0.002739
1989	40	0.003615
1990	40	0.002001
1991	40	0.002339
1992	40	0.001966
1993	40	0.001263
1994	40	0.002772
1995	40	0.002121
1996	40	0.001516
1997	40	0.002664
1998	40	0.003964
1999	40	0.001938
2000	40	0.002189
2001	40	0.001879
2002	40	0.001311
2003	40	0.001535
2004	40	0.001429
2005	40	0.000709
2006	40	0.00216
2007	40	0.000476
2008	40	0.000945
2009	40	0.000707
2010	40	0.001458
2011	40	0.000939
2012	40	0.000457
2013	40	0.00094
2014	40	0.002172
2015	40	0.001144
2016	40	0.000677
2017	40	0.000868
2018	40	0.000854
2019	40	0.000631
2020	40	0.000821
1971	50	0.008481
1972	50	0.005886
1973	50	0.006512
1974	50	0.003688
1975	50	0.009022
1976	50	0.006431
1977	50	0.008782
1978	50	0.008818
1979	50	0.00765
1980	50	0.006157
1981	50	0.004599
1982	50	0.004478
1983	50	0.008056
1984	50	0.006634
1985	50	0.005775
1986	50	0.006086
1987	50	0.005109
1988	50	0.005966
1989	50	0.006608
1990	50	0.004224
1991	50	0.006033
1992	50	0.004944
1993	50	0.004789
1994	50	0.006174
1995	50	0.005878
1996	50	0.004512
1997	50	0.006584
1998	50	0.006178
1999	50	0.003616
2000	50	0.004051
2001	50	0.006479
2002	50	0.004302
2003	50	0.004442
2004	50	0.004061
2005	50	0.00581
2006	50	0.005106
2007	50	0.003737
2008	50	0.004357
2009	50	0.003972
2010	50	0.002096
2011	50	0.002776
2012	50	0.003851
2013	50	0.004373
2014	50	0.003628
2015	50	0.00273
2016	50	0.003126
2017	50	0.002691
2018	50	0.003261
2019	50	0.003232
2020	50	0.003399
